Date;Open;High;Low;Close;Volume
01/03/2025;254.74;266.45;245.18;248.95;36079000
01/02/2025;252.40;265.72;246.54;252.44;94123600
01/01/2025;221.82;261.80;214.61;255.70;92420800
01/12/2024;227.50;239.35;217.65;219.83;81531000
01/11/2024;207.77;230.36;204.07;227.41;77279500
01/10/2024;220.63;237.37;203.51;206.72;105623600
01/09/2024;201.91;224.15;199.34;221.08;83445400
01/08/2024;192.81;202.17;181.81;202.13;65453400
01/07/2024;173.45;196.26;173.38;192.14;81257600
01/06/2024;166.54;178.46;163.53;172.95;70706000
01/05/2024;165.69;175.46;162.62;166.85;78619000
01/04/2024;190.00;193.28;165.26;166.20;98354700
01/03/2024;185.49;199.18;185.18;190.96;99989100
01/02/2024;183.63;188.95;178.75;185.03;88676800
01/01/2024;162.83;196.90;157.89;183.66;129883200
01/12/2023;158.41;166.34;158.00;163.55;87828800
01/11/2023;145.00;158.60;144.45;158.56;78458300
01/10/2023;140.04;144.76;135.87;144.64;94385000
01/09/2023;147.26;151.93;139.61;140.30;82798300
01/08/2023;144.25;147.73;139.76;146.83;84268400
01/07/2023;133.42;144.60;131.55;144.18;85773900
01/06/2023;128.44;139.47;127.78;133.81;100711500
01/05/2023;126.35;130.07;120.55;128.59;96207800
01/04/2023;130.97;132.61;124.56;126.41;83679400
01/03/2023;128.90;131.48;121.71;131.09;138239000
01/02/2023;134.49;137.39;128.86;129.30;76080200
01/01/2023;141.10;147.18;132.98;134.73;105575000
01/12/2022;149.98;153.21;137.20;140.89;86424100
01/11/2022;138.25;150.46;133.97;148.90;93661300
01/10/2022;120.16;138.86;115.55;138.29;113478200
01/09/2022;128.40;130.99;118.61;118.81;87265100
01/08/2022;130.75;139.34;128.40;128.45;77419800
01/07/2022;141.00;141.87;125.13;130.79;129791800
01/06/2022;139.67;144.73;132.85;141.19;105811300
01/05/2022;133.00;139.83;125.80;138.84;113226200
01/04/2022;129.66;141.88;124.91;132.21;107684000
01/03/2022;122.67;133.08;120.70;130.02;96571700
01/02/2022;133.76;138.82;118.81;122.51;98534100
01/01/2022;134.07;142.20;124.19;133.57;146976800
01/12/2021;118.25;134.99;116.56;133.66;113968900
01/11/2021;119.55;124.78;114.56;117.10;120104799
01/10/2021;134.80;139.58;119.14;119.60;150725359
01/09/2021;133.82;134.39;126.94;132.82;80160627
01/08/2021;135.23;138.34;131.18;134.17;72891244
01/07/2021;140.50;141.01;130.22;134.76;115710194
01/06/2021;138.62;146.12;136.75;140.14;88332817
01/05/2021;137.49;141.98;134.72;137.42;102542414
01/04/2021;127.88;142.20;124.65;135.64;128573588
01/03/2021;115.06;131.04;113.54;127.40;133852331
01/02/2021;114.63;118.88;112.93;113.70;111617824
01/01/2021;120.32;126.42;112.20;113.87;183999975
01/12/2020;118.45;122.07;116.37;120.34;107553067
01/11/2020;107.70;119.80;106.27;118.09;108438088
01/10/2020;116.98;129.54;101.26;106.75;166434813
01/09/2020;117.45;124.24;111.36;116.32;88369845
01/08/2020;118.07;124.73;116.78;117.89;77439042
01/07/2020;114.98;126.36;110.13;117.53;119434686
01/06/2020;119.16;129.90;110.78;115.46;126567676
01/05/2020;117.77;121.39;106.89;119.41;97154572
01/04/2020;101.68;123.62;99.92;120.04;136705925
